ID_sample,Loci,Raw,Adapt
ADE_25_00688,12S160,3809960,1604852
ADE_25_00688,18SV9,3809960,1
ADE_25_00688,COIB1,3809960,444543
ADE_25_00688,MiFishU,3809960,1719730
ADE_25_00688,rbcLrouge,3809960,0
ADE_25_00688,rbcLverte,3809960,0
ADE_25_00689,12S160,2817017,1000420
ADE_25_00689,18SV9,2817017,1
ADE_25_00689,COIB1,2817017,840685
ADE_25_00689,MiFishU,2817017,949869
ADE_25_00689,rbcLrouge,2817017,1
ADE_25_00689,rbcLverte,2817017,0
ADE_25_00690,12S160,2928518,981494
ADE_25_00690,18SV9,2928518,0
ADE_25_00690,COIB1,2928518,1355769
ADE_25_00690,MiFishU,2928518,567645
ADE_25_00690,rbcLrouge,2928518,1
ADE_25_00690,rbcLverte,2928518,0
ADE_25_00691,12S160,4822119,739633
ADE_25_00691,18SV9,4822119,2
ADE_25_00691,COIB1,4822119,3837086
ADE_25_00691,MiFishU,4822119,57649
ADE_25_00691,rbcLrouge,4822119,1
ADE_25_00691,rbcLverte,4822119,0
ADE_25_00692,12S160,1860223,431296
ADE_25_00692,18SV9,1860223,0
ADE_25_00692,COIB1,1860223,1064916
ADE_25_00692,MiFishU,1860223,73138
ADE_25_00692,rbcLrouge,1860223,0
ADE_25_00692,rbcLverte,1860223,0
ADE_25_00693,12S160,3637124,1225266
ADE_25_00693,18SV9,3637124,1
ADE_25_00693,COIB1,3637124,743203
ADE_25_00693,MiFishU,3637124,1612839
ADE_25_00693,rbcLrouge,3637124,0
ADE_25_00693,rbcLverte,3637124,0
ADE_25_00694,12S160,3477838,757167
ADE_25_00694,18SV9,3477838,2
ADE_25_00694,COIB1,3477838,2466382
ADE_25_00694,MiFishU,3477838,229809
ADE_25_00694,rbcLrouge,3477838,0
ADE_25_00694,rbcLverte,3477838,0
ADE_25_00695,12S160,3686679,758320
ADE_25_00695,18SV9,3686679,2
ADE_25_00695,COIB1,3686679,2749275
ADE_25_00695,MiFishU,3686679,158369
ADE_25_00695,rbcLrouge,3686679,0
ADE_25_00695,rbcLverte,3686679,0
ADE_25_00696,12S160,2080042,1567870
ADE_25_00696,18SV9,2080042,0
ADE_25_00696,COIB1,2080042,357202
ADE_25_00696,MiFishU,2080042,65660
ADE_25_00696,rbcLrouge,2080042,0
ADE_25_00696,rbcLverte,2080042,0
ADE_25_00697,12S160,3496480,1105896
ADE_25_00697,18SV9,3496480,1
ADE_25_00697,COIB1,3496480,1045946
ADE_25_00697,MiFishU,3496480,1311000
ADE_25_00697,rbcLrouge,3496480,0
ADE_25_00697,rbcLverte,3496480,0
