ID,Loci,Remove,Reads,N
ADE_25_00688_12S160,12S160,355445,Dada2,1249407
ADE_25_00688_12S160,12S160,355445,Adapt,1604852
ADE_25_00689_12S160,12S160,201885,Dada2,798535
ADE_25_00689_12S160,12S160,201885,Adapt,1000420
ADE_25_00690_12S160,12S160,208285,Dada2,773209
ADE_25_00690_12S160,12S160,208285,Adapt,981494
ADE_25_00691_12S160,12S160,739629,Dada2,4
ADE_25_00691_12S160,12S160,739629,Adapt,739633
ADE_25_00692_12S160,12S160,431292,Dada2,4
ADE_25_00692_12S160,12S160,431292,Adapt,431296
ADE_25_00693_12S160,12S160,314626,Dada2,910640
ADE_25_00693_12S160,12S160,314626,Adapt,1225266
ADE_25_00694_12S160,12S160,119922,Dada2,637245
ADE_25_00694_12S160,12S160,119922,Adapt,757167
ADE_25_00695_12S160,12S160,161006,Dada2,597314
ADE_25_00695_12S160,12S160,161006,Adapt,758320
ADE_25_00696_12S160,12S160,1566464,Dada2,1406
ADE_25_00696_12S160,12S160,1566464,Adapt,1567870
ADE_25_00697_12S160,12S160,230492,Dada2,875404
ADE_25_00697_12S160,12S160,230492,Adapt,1105896
ADE_25_00698_12S160,12S160,160284,Dada2,870501
ADE_25_00698_12S160,12S160,160284,Adapt,1030785
ADE_25_00699_12S160,12S160,148483,Dada2,802796
ADE_25_00699_12S160,12S160,148483,Adapt,951279
ADE_25_00700_12S160,12S160,451879,Dada2,189
ADE_25_00700_12S160,12S160,451879,Adapt,452068
ADE_25_00701_12S160,12S160,486438,Dada2,486234
ADE_25_00701_12S160,12S160,486438,Adapt,972672
ADE_25_00702_12S160,12S160,283507,Dada2,1219562
ADE_25_00702_12S160,12S160,283507,Adapt,1503069
ADE_25_00703_12S160,12S160,122462,Dada2,433474
ADE_25_00703_12S160,12S160,122462,Adapt,555936
ADE_25_00704_12S160,12S160,360534,Dada2,1693190
ADE_25_00704_12S160,12S160,360534,Adapt,2053724
ADE_25_00705_12S160,12S160,235908,Dada2,737745
ADE_25_00705_12S160,12S160,235908,Adapt,973653
ADE_25_00706_12S160,12S160,281677,Dada2,739559
ADE_25_00706_12S160,12S160,281677,Adapt,1021236
ADE_25_00707_12S160,12S160,135991,Dada2,539706
ADE_25_00707_12S160,12S160,135991,Adapt,675697
ADE_25_00708_12S160,12S160,308853,Dada2,963818
ADE_25_00708_12S160,12S160,308853,Adapt,1272671
ADE_25_00709_12S160,12S160,315182,Dada2,808471
ADE_25_00709_12S160,12S160,315182,Adapt,1123653
ADE_25_00710_12S160,12S160,234901,Dada2,783185
ADE_25_00710_12S160,12S160,234901,Adapt,1018086
ADE_25_00711_12S160,12S160,1057937,Dada2,26566
ADE_25_00711_12S160,12S160,1057937,Adapt,1084503
ADE_25_00712_12S160,12S160,440021,Dada2,1520716
ADE_25_00712_12S160,12S160,440021,Adapt,1960737
ADE_25_00713_12S160,12S160,159347,Dada2,694258
ADE_25_00713_12S160,12S160,159347,Adapt,853605
ADE_25_00714_12S160,12S160,492760,Dada2,8
ADE_25_00714_12S160,12S160,492760,Adapt,492768
ADE_25_00715_12S160,12S160,137325,Dada2,676709
ADE_25_00715_12S160,12S160,137325,Adapt,814034
ADE_25_00716_12S160,12S160,274930,Dada2,430523
ADE_25_00716_12S160,12S160,274930,Adapt,705453
ADE_25_00717_12S160,12S160,371697,Dada2,1757693
ADE_25_00717_12S160,12S160,371697,Adapt,2129390
ADE_25_00718_12S160,12S160,322224,Dada2,1074891
