ID_sample,Loci,Merge,ESVlength,Final
ADE_25_00688,12S160,415,414,88
ADE_25_00689,12S160,900,898,105
ADE_25_00690,12S160,591,591,109
ADE_25_00691,12S160,0,0,0
ADE_25_00692,12S160,0,0,0
ADE_25_00693,12S160,244,240,70
ADE_25_00694,12S160,810,810,76
ADE_25_00695,12S160,801,801,73
ADE_25_00696,12S160,4,3,3
ADE_25_00697,12S160,438,435,76
ADE_25_00698,12S160,2184,2184,115
ADE_25_00699,12S160,1679,1679,120
ADE_25_00700,12S160,1,1,1
ADE_25_00701,12S160,340,338,87
ADE_25_00702,12S160,1358,1358,157
ADE_25_00703,12S160,745,745,84
ADE_25_00704,12S160,990,989,133
ADE_25_00705,12S160,618,618,91
ADE_25_00706,12S160,593,593,102
ADE_25_00707,12S160,635,634,97
ADE_25_00708,12S160,869,867,99
ADE_25_00709,12S160,832,829,98
ADE_25_00710,12S160,928,927,102
ADE_25_00711,12S160,99,99,30
ADE_25_00712,12S160,210,209,61
ADE_25_00713,12S160,832,831,110
ADE_25_00714,12S160,1,1,1
ADE_25_00715,12S160,675,674,100
ADE_25_00716,12S160,325,324,81
ADE_25_00717,12S160,1118,1117,122
ADE_25_00718,12S160,1156,1154,133
ADE_25_00720,12S160,3,2,2
ADE_25_00730,12S160,878,877,126
ADE_25_00731,12S160,340,335,71
ADE_25_00732,12S160,1224,1222,138
ADE_25_00733,12S160,215,214,60
ADE_25_00734,12S160,671,670,108
ADE_25_00735,12S160,1184,1178,135
ADE_25_00736,12S160,514,513,97
ADE_25_00737,12S160,765,762,118
ADE_25_00738,12S160,542,541,101
ADE_25_00739,12S160,103,97,50
ADE_25_00740,12S160,156,156,50
ADE_25_00741,12S160,1248,1246,149
ADE_25_00742,12S160,418,416,65
ADE_25_00743,12S160,1074,1072,126
ADE_25_00744,12S160,543,541,99
ADE_25_00745,12S160,959,959,140
ADE_25_00746,12S160,345,340,70
ADE_25_00747,12S160,1177,1176,150
ADE_25_00748,12S160,532,522,82
ADE_25_00749,12S160,988,987,144
ADE_25_00750,12S160,90,86,42
ADE_25_00751,12S160,435,433,66
ADE_25_00752,12S160,137,127,49
ADE_25_00753,12S160,466,462,104
ADE_25_00754,12S160,473,464,88
ADE_25_00755,12S160,3,3,3
ADE_25_00756,12S160,227,226,69
ADE_25_00757,12S160,641,638,91
ADE_25_00758,12S160,811,806,139
ADE_25_00759,12S160,32,30,20
ADE_25_00760,12S160,191,190,60
