ID_sample,Loci,Merge,Final,ESVlength
ADE_25_00688,12S160,1177060,1132007,1177057
ADE_25_00689,12S160,748325,693890,748303
ADE_25_00690,12S160,729702,689425,729702
ADE_25_00691,12S160,0,0,0
ADE_25_00692,12S160,0,0,0
ADE_25_00693,12S160,827205,801042,827113
ADE_25_00694,12S160,612442,544533,612442
ADE_25_00695,12S160,567410,506246,567410
ADE_25_00696,12S160,1395,1392,1392
ADE_25_00697,12S160,813694,735840,813488
ADE_25_00698,12S160,817233,629289,817233
ADE_25_00699,12S160,765962,627041,765962
ADE_25_00700,12S160,186,186,186
ADE_25_00701,12S160,457990,424108,457984
ADE_25_00702,12S160,1141316,993978,1141316
ADE_25_00703,12S160,408951,370503,408951
ADE_25_00704,12S160,1593883,1454966,1593868
ADE_25_00705,12S160,692373,635608,692373
ADE_25_00706,12S160,690650,624200,690650
ADE_25_00707,12S160,504790,465630,504769
ADE_25_00708,12S160,910936,836455,910811
ADE_25_00709,12S160,745734,681695,745467
ADE_25_00710,12S160,737440,665622,737438
ADE_25_00711,12S160,25842,24168,25842
ADE_25_00712,12S160,1434110,1416131,1434106
ADE_25_00713,12S160,648710,590709,648703
ADE_25_00714,12S160,3,3,3
ADE_25_00715,12S160,635810,572249,635803
ADE_25_00716,12S160,401416,381218,401401
ADE_25_00717,12S160,1655301,1568788,1655292
ADE_25_00718,12S160,994237,916787,994224
ADE_25_00720,12S160,40,17,17
ADE_25_00730,12S160,731818,601963,731814
ADE_25_00731,12S160,282469,262314,282428
ADE_25_00732,12S160,825809,729086,823974
ADE_25_00733,12S160,395432,382521,395422
ADE_25_00734,12S160,750599,692263,750597
ADE_25_00735,12S160,871132,766575,870799
ADE_25_00736,12S160,659554,620218,659537
ADE_25_00737,12S160,1524090,1367731,1523898
ADE_25_00738,12S160,510721,481285,510437
ADE_25_00739,12S160,374584,361201,367570
ADE_25_00740,12S160,804139,793372,804139
ADE_25_00741,12S160,1032172,869309,1032144
ADE_25_00742,12S160,320556,288640,320485
ADE_25_00743,12S160,820046,729836,820007
ADE_25_00744,12S160,925828,832689,925817
ADE_25_00745,12S160,1591837,1541621,1591837
ADE_25_00746,12S160,509161,466093,508091
ADE_25_00747,12S160,745018,639502,744990
ADE_25_00748,12S160,801706,727095,799142
ADE_25_00749,12S160,1044813,910997,1044731
ADE_25_00750,12S160,22923,21217,22466
ADE_25_00751,12S160,243843,213467,243741
ADE_25_00752,12S160,247744,236675,246828
ADE_25_00753,12S160,708830,658189,708784
ADE_25_00754,12S160,573960,497520,573184
